"quarter","Ticker","Name","Industry","buy/sell(mil $)"
"1Q23","AAPL","Apple Inc","Information Technology",1632.4
"1Q23","COF","Capital One Financial Corp","Financials",1158.3
"1Q23","OXY","Occidental Petroleum Corp","Energy",1152.1
"1Q23","BAC","Bank of America Corp","Financials",1061.8
"1Q23","GOOG","Alphabet Inc","Communication Services",1019.3
"1Q23","D","Dominion Energy Inc","Utilities",929
"1Q23","C","Citigroup Inc","Financials",804.9
"1Q23","BA","Boeing Co","Industrials",783
"1Q23","MDT","Medtronic PLC","Health Care",682.3
"1Q23","BKNG","Booking Holdings Inc","Consumer Discretionary",591.7
"1Q23","GOOGL","Alphabet Inc","Communication Services",542.3
"1Q23","FIS","Fidelity National Information Services Inc","Financials",479.8
"1Q23","SCHW","Charles Schwab Corp","Financials",453.6
"1Q23","HPQ","HP Inc","Information Technology",449.1
"1Q23","LVS","Las Vegas Sands Corp","Consumer Discretionary",446.9
"1Q23","MRK","Merck & Co Inc","Health Care",446.6
"1Q23","CMI","Cummins Inc","Industrials",380.3
"1Q23","AVTR","Avantor Inc","Health Care",368.6
"1Q23","KKR","KKR & Co Inc","Financials",356.2
"1Q23","JCI","Johnson Controls International PLC","Industrials",347.3
"1Q23","CHTR","Charter Communications Inc","Communication Services",291.1
"1Q23","OVV","Ovintiv Inc","Energy",269.9
"1Q23","TFC","Truist Financial Corp","Financials",265.9
"1Q23","PXD","Pioneer Natural Resources Co","Energy",262.7
"1Q23","SWX","Southwest Gas Holdings Inc","Utilities",253.2
"1Q23","APA","APA Corp (US)","Energy",248.1
"1Q23","CVS","CVS Health Corp","Health Care",246.6
"1Q23","DOW","Dow Inc","Materials",245.9
"1Q23","PCAR","Paccar Inc","Industrials",233.1
"1Q23","ABT","Abbott Laboratories","Health Care",224.3
"1Q23","ELV","Elevance Health Inc","Health Care",218.2
"1Q23","TEL","TE Connectivity Ltd","Information Technology",211.7
"1Q23","GSK","GSK plc","Health Care",203.6
"1Q23","MGM","MGM Resorts International","Consumer Discretionary",193.7
"1Q23","CARR","Carrier Global Corp","Industrials",190
"1Q23","TT","Trane Technologies PLC","Industrials",177.1
"1Q23","BILL","BILL Holdings Inc","Information Technology",171.4
"1Q23","ENB","Enbridge Inc","Energy",168.7
"1Q23","KR","Kroger Co","Consumer Staples",158.9
"1Q23","ERIC","Telefonaktiebolaget LM Ericsson","Information Technology",154.2
"1Q23","CRM","Salesforce Inc","Information Technology",150.9
"1Q23","ASML","ASML Holding NV","Information Technology",144.5
"1Q23","LUV","Southwest Airlines Co","Industrials",144.5
"1Q23","BAP","Credicorp Ltd","Financials",138.3
"1Q23","UBER","Uber Technologies Inc","Industrials",135.5
"1Q23","LESL","Leslie's Inc","Consumer Discretionary",132.8
"1Q23","HLN","HALEON PLC","Consumer Staples",127.5
"1Q23","AIG","American International Group Inc","Financials",115.1
"1Q23","EPAM","Epam Systems Inc","Information Technology",113.6
"1Q23","SU","Suncor Energy Inc","Energy",113.5
"1Q23","EWBC","East West Bancorp Inc","Financials",111
"1Q23","FNF","Fidelity National Financial Inc","Financials",108.6
"1Q23","MCO","Moody's Corp","Financials",103.6
"1Q23","CRH","CRH PLC","Materials",95.1
"1Q23","ABEV","Ambev SA","Consumer Staples",94.8
"1Q23","XP","XP Inc","Financials",94.3
"1Q23","FND","Floor & Decor Holdings Inc","Consumer Discretionary",92.5
"1Q23","BKR","Baker Hughes Co","Energy",91.6
"1Q23","COP","Conocophillips","Energy",89.7
"1Q23","K","Kellogg Co","Consumer Staples",89.6
"1Q23","VAL","Valaris Ltd","Energy",89.5
"1Q23","GEHC","GE Healthcare Technologies Inc","Health Care",85.7
"1Q23","JD","JD.Com Inc","Consumer Discretionary",83.7
"1Q23","SWKS","Skyworks Solutions Inc","Information Technology",82.9
"1Q23","DHR","Danaher Corp","Health Care",82
"1Q23","NTRS","Northern Trust Corp","Financials",81.7
"1Q23","PFE","Pfizer Inc","Health Care",79.6
"1Q23","TGTX","TG Therapeutics Inc","Health Care",77.3
"1Q23","FERG","Ferguson PLC","Industrials",75.4
"1Q23","JAZZ","Jazz Pharmaceuticals PLC","Health Care",71.3
"1Q23","NVDA","NVIDIA Corp","Information Technology",69.9
"1Q23","ROIV","Roivant Sciences Ltd","Health Care",67.6
"1Q23","APTV","Aptiv PLC","Consumer Discretionary",66.1
"1Q23","LLY","Eli Lilly and Co","Health Care",65.2
"1Q23","ITUB","Itau Unibanco Holding SA","Financials",64.6
"1Q23","NEE","Nextera Energy Inc","Utilities",63.4
"1Q23","FFIV","F5 Inc","Information Technology",62.4
"1Q23","NTR","Nutrien Ltd","Materials",61.9
"1Q23","MTB","M&T Bank Corp","Financials",60.3
"1Q23","EQR","Equity Residential","Real Estate",60
"1Q23","CFG","Citizens Financial Group Inc","Financials",59.4
"1Q23","MRO","Marathon Oil Corp","Energy",59.3
"1Q23","MGA","Magna International Inc","Consumer Discretionary",59.1
"1Q23","ILMN","Illumina Inc","Health Care",58.5
"1Q23","FBIN","Fortune Brands Innovations Inc","Industrials",56.9
"1Q23","BKI","Black Knight Inc","Information Technology",56.6
"1Q23","CG","Carlyle Group Inc","Financials",55.8
"1Q23","VTRS","Viatris Inc","Health Care",55.5
"1Q23","STZ","Constellation Brands Inc","Consumer Staples",55.3
"1Q23","TAP","Molson Coors Beverage Co","Consumer Staples",55.2
"1Q23","TECK","Teck Resources Ltd","Materials",53.6
"1Q23","CEIX","CONSOL Energy Inc","Energy",52.9
"1Q23","APLS","Apellis Pharmaceuticals Inc","Health Care",51
"1Q23","IMCR","Immunocore Holdings PLC","Health Care",50.9
