"Date","Ticker","Name","Industry","buy/sell(mil shares)","buy/sell(mil $)","total outstandings(mil shares)","percent","quarter","aaa"
"2023-03-31","AAPL","Apple Inc","Information Technology",11.1,1632.4,15723,0.1,"1Q23",1632.4
"2023-03-31","COF","Capital One Financial Corp","Financials",11.1,1158.3,382,2.9,"1Q23",1158.3
"2023-03-31","OXY","Occidental Petroleum Corp","Energy",18.5,1152.1,898,2.1,"1Q23",1152.1
"2023-03-31","BAC","Bank of America Corp","Financials",32.2,1061.8,7999,0.4,"1Q23",1061.8
"2023-03-31","GOOG","Alphabet Inc","Communication Services",10.6,1019.3,12807,0.1,"1Q23",1019.3
"2023-03-31","D","Dominion Energy Inc","Utilities",15.9,929,835,1.9,"1Q23",929
"2023-03-31","C","Citigroup Inc","Financials",16.4,804.9,1947,0.8,"1Q23",804.9
"2023-03-31","BA","Boeing Co","Industrials",3.8,783,601,0.6,"1Q23",783
"2023-03-31","MDT","Medtronic PLC","Health Care",8.4,682.3,1330,0.6,"1Q23",682.3
"2023-03-31","BKNG","Booking Holdings Inc","Consumer Discretionary",0.2,591.7,37,0.5,"1Q23",591.7
"2023-03-31","FIS","Fidelity National Information Services Inc","Financials",7.4,479.8,592,1.2,"1Q23",479.8
"2023-03-31","SCHW","Charles Schwab Corp","Financials",6.2,453.6,1819,0.3,"1Q23",453.6
"2023-03-31","HPQ","HP Inc","Information Technology",15.6,449.1,985,1.6,"1Q23",449.1
"2023-03-31","LVS","Las Vegas Sands Corp","Consumer Discretionary",8,446.9,764,1,"1Q23",446.9
"2023-03-31","MRK","Merck & Co Inc","Health Care",4.1,446.6,2538,0.2,"1Q23",446.6
"2023-03-31","CMI","Cummins Inc","Industrials",1.6,380.3,142,1.1,"1Q23",380.3
"2023-03-31","AVTR","Avantor Inc","Health Care",16.2,368.6,675,2.4,"1Q23",368.6
"2023-03-31","KKR","KKR & Co Inc","Financials",6.6,356.2,861,0.8,"1Q23",356.2
"2023-03-31","JCI","Johnson Controls International PLC","Industrials",5.4,347.3,686,0.8,"1Q23",347.3
"2023-03-31","CHTR","Charter Communications Inc","Communication Services",0.8,291.1,151,0.5,"1Q23",291.1
"2023-03-31","OVV","Ovintiv Inc","Energy",6.1,269.9,244,2.5,"1Q23",269.9
"2023-03-31","TFC","Truist Financial Corp","Financials",6.1,265.9,1332,0.5,"1Q23",265.9
"2023-03-31","PXD","Pioneer Natural Resources Co","Energy",1.2,262.7,234,0.5,"1Q23",262.7
"2023-03-31","SWX","Southwest Gas Holdings Inc","Utilities",4,253.2,71,5.6,"1Q23",253.2
"2023-03-31","APA","APA Corp (US)","Energy",6.2,248.1,309,2,"1Q23",248.1
"2023-03-31","CVS","CVS Health Corp","Health Care",2.9,246.6,1280,0.2,"1Q23",246.6
"2023-03-31","DOW","Dow Inc","Materials",4.4,245.9,707,0.6,"1Q23",245.9
"2023-03-31","PCAR","Paccar Inc","Industrials",3.3,233.1,523,0.6,"1Q23",233.1
"2023-03-31","ABT","Abbott Laboratories","Health Care",2.1,224.3,1739,0.1,"1Q23",224.3
"2023-03-31","ELV","Elevance Health Inc","Health Care",0.5,218.2,237,0.2,"1Q23",218.2
"2023-03-31","TEL","TE Connectivity Ltd","Information Technology",1.7,211.7,315,0.5,"1Q23",211.7
"2023-03-31","GSK","GSK plc","Health Care",5.8,203.6,4095,0.1,"1Q23",203.6
"2023-03-31","MGM","MGM Resorts International","Consumer Discretionary",4.7,193.7,373,1.3,"1Q23",193.7
