"quarter","Ticker","Name","Industry","buy/sell(mil $)"
"1Q23","CVX","Chevron Corp","Energy",-5123.4
"1Q23","META","Meta Platforms Inc","Communication Services",-2093.6
"1Q23","MSFT","Microsoft Corp","Information Technology",-1363.7
"1Q23","GE","General Electric Co","Industrials",-1275.2
"1Q23","BK","Bank of New York Mellon Corp","Financials",-1229.1
"1Q23","AXP","American Express Co","Financials",-932.6
"1Q23","NFLX","Netflix Inc","Communication Services",-895.3
"1Q23","AMZN","Amazon.com Inc","Consumer Discretionary",-845.9
"1Q23","TSM","Taiwan Semiconductor Manufacturing Co Ltd","Information Technology",-809.7
"1Q23","RH","RH","Consumer Discretionary",-681
"1Q23","PYPL","PayPal Holdings Inc","Financials",-569.7
"1Q23","BIDU","Baidu Inc","Communication Services",-564.4
"1Q23","INCY","Incyte Corp","Health Care",-562
"1Q23","TSLA","Tesla Inc","Consumer Discretionary",-537
"1Q23","HRI","Herc Holdings Inc","Industrials",-495
"1Q23","WYNN","Wynn Resorts Ltd","Consumer Discretionary",-437
"1Q23","GM","General Motors Co","Consumer Discretionary",-369.9
"1Q23","TMO","Thermo Fisher Scientific Inc","Health Care",-355
"1Q23","AAP","Advance Auto Parts Inc","Consumer Discretionary",-317.5
"1Q23","MCK","Mckesson Corp","Health Care",-314.1
"1Q23","HPE","Hewlett Packard Enterprise Co","Information Technology",-307.9
"1Q23","IFF","International Flavors & Fragrances Inc","Materials",-302.8
"1Q23","ORCL","Oracle Corp","Information Technology",-283.6
"1Q23","WBD","Warner Bros Discovery Inc","Communication Services",-274.6
"1Q23","TRV","Travelers Companies Inc","Financials",-273.3
"1Q23","HCA","HCA Healthcare Inc","Health Care",-272.7
"1Q23","GS","Goldman Sachs Group Inc","Financials",-261.4
"1Q23","TMUS","T-Mobile US Inc","Communication Services",-260.7
"1Q23","USB","US Bancorp","Financials",-247.2
"1Q23","NRG","NRG Energy Inc","Utilities",-243.9
"1Q23","DE","Deere & Co","Industrials",-236
"1Q23","ATVI","Activision Blizzard Inc","Communication Services",-225.5
