"Date","Ticker","Name","Industry","buy/sell(mil shares)","buy/sell(mil $)","total outstandings(mil shares)","percent","quarter","aaa"
"2023-03-31","MKFG","Markforged Holding Corp","Industrials",-0.1,-0.1,196,0.1,"1Q23",0.1
"2023-03-31","VXRT","Vaxart Inc","Health Care",-0.1,-0.1,136,0.1,"1Q23",0.1
"2023-03-31","ALPP","Alpine 4 Holdings Inc","Information Technology",-0.1,-0.2,179,0.1,"1Q23",0.2
"2023-03-31","CRNT","Ceragon Networks Ltd","Information Technology",-0.1,-0.2,84,0.1,"1Q23",0.2
"2023-03-31","PRAX","Praxis Precision Medicines Inc","Health Care",-0.1,-0.2,58,0.2,"1Q23",0.2
"2023-03-31","RIGL","Rigel Pharmaceuticals Inc","Health Care",-0.2,-0.2,174,0.1,"1Q23",0.2
"2023-03-31","RLMD","Relmada Therapeutics Inc","Health Care",-0.1,-0.2,30,0.3,"1Q23",0.2
"2023-03-31","TOI","Oncology Institute Inc","Health Care",-0.2,-0.2,74,0.3,"1Q23",0.2
"2023-03-31","YMAB","Y-mAbs Therapeutics Inc","Health Care",-0.1,-0.2,44,0.2,"1Q23",0.2
"2023-03-31","LTRPA","Liberty Tripadvisor Holdings Inc","Communication Services",-0.2,-0.3,76,0.3,"1Q23",0.3
"2023-03-31","NR","Newpark Resources Inc","Energy",-0.1,-0.3,86,0.1,"1Q23",0.3
"2023-03-31","NVTS","Navitas Semiconductor Corp","Information Technology",-0.1,-0.3,161,0.1,"1Q23",0.3
"2023-03-31","SCOR","Comscore Inc","Communication Services",-0.2,-0.3,92,0.2,"1Q23",0.3
"2023-03-31","SIEN","Sientra Inc","Health Care",-0.1,-0.3,11,0.9,"1Q23",0.3
"2023-03-31","TTSH","Tile Shop Holdings Inc","Consumer Discretionary",-0.1,-0.3,45,0.2,"1Q23",0.3
"2023-03-31","ERYP","Erytech Pharma SA","Health Care",-0.6,-0.4,31,1.9,"1Q23",0.4
"2023-03-31","GOSS","Gossamer Bio Inc","Health Care",-0.2,-0.4,95,0.2,"1Q23",0.4
"2023-03-31","GTHX","G1 Therapeutics Inc","Health Care",-0.1,-0.4,52,0.2,"1Q23",0.4
"2023-03-31","HYPR","Hyperfine Inc","Health Care",-0.3,-0.4,71,0.4,"1Q23",0.4
"2023-03-31","PLYA","Playa Hotels & Resorts NV","Consumer Discretionary",-0.1,-0.4,154,0.1,"1Q23",0.4
"2023-03-31","TISI","Team Inc","Industrials",-0.1,-0.4,4,2.5,"1Q23",0.4
"2023-03-31","BW","Babcock & Wilcox Enterprises Inc","Industrials",-0.1,-0.5,89,0.1,"1Q23",0.5
"2023-03-31","LPRO","Open Lending Corp","Financials",-0.1,-0.5,121,0.1,"1Q23",0.5
"2023-03-31","SMWB","Similarweb Ltd","Information Technology",-0.1,-0.5,77,0.1,"1Q23",0.5
"2023-03-31","UP","Wheels Up Experience Inc","Industrials",-0.5,-0.5,252,0.2,"1Q23",0.5
"2023-03-31","GPRO","GoPro Inc","Consumer Discretionary",-0.1,-0.6,156,0.1,"1Q23",0.6
"2023-03-31","IMUX","Immunic Inc","Health Care",-0.3,-0.6,44,0.7,"1Q23",0.6
"2023-03-31","LYTS","LSI Industries Inc","Industrials",-0.1,-0.7,28,0.4,"1Q23",0.7
"2023-03-31","RIOT","Riot Platforms Inc","Information Technology",-0.1,-0.7,167,0.1,"1Q23",0.7
"2023-03-31","SUP","Superior Industries International Inc","Consumer Discretionary",-0.1,-0.7,28,0.4,"1Q23",0.7
"2023-03-31","WTI","W&T Offshore Inc","Energy",-0.1,-0.7,146,0.1,"1Q23",0.7
"2023-03-31","HLX","Helix Energy Solutions Group Inc","Energy",-0.1,-0.8,151,0.1,"1Q23",0.8
"2023-03-31","LADR","Ladder Capital Corp","Financials",-0.1,-0.8,127,0.1,"1Q23",0.8
"2023-03-31","EDAP","Edap Tms SA","Health Care",-0.1,-0.9,37,0.3,"1Q23",0.9
"2023-03-31","GNL","Global Net Lease Inc","Real Estate",-0.1,-0.9,104,0.1,"1Q23",0.9
"2023-03-31","HCAT","Health Catalyst Inc","Health Care",-0.1,-0.9,56,0.2,"1Q23",0.9
"2023-03-31","UE","Urban Edge Properties","Real Estate",-0.1,-0.9,118,0.1,"1Q23",0.9
"2023-03-31","CSTM","Constellium SE","Materials",-0.1,-1,144,0.1,"1Q23",1
"2023-03-31","MXCT","MaxCyte Inc","Health Care",-0.2,-1,103,0.2,"1Q23",1
"2023-03-31","RWT","Redwood Trust Inc","Financials",-0.1,-1,114,0.1,"1Q23",1
"2023-03-31","SLAM","Slam Corp","NULL",-0.1,-1,40,0.2,"1Q23",1
"2023-03-31","EDIT","Editas Medicine Inc","Health Care",-0.1,-1.1,69,0.1,"1Q23",1.1
"2023-03-31","FBIO","Fortress Biotech Inc","Health Care",-1.4,-1.1,113,1.2,"1Q23",1.1
"2023-03-31","GHL","Greenhill & Co Inc","Financials",-0.1,-1.1,18,0.6,"1Q23",1.1
"2023-03-31","HLF","Herbalife Ltd","Consumer Staples",-0.1,-1.1,99,0.1,"1Q23",1.1
"2023-03-31","XHR","Xenia Hotels & Resorts Inc","Real Estate",-0.1,-1.1,111,0.1,"1Q23",1.1
"2023-03-31","MPAA","Motorcar Parts of America Inc","Consumer Discretionary",-0.1,-1.2,19,0.5,"1Q23",1.2
"2023-03-31","OSTK","Overstock.com Inc","Consumer Discretionary",-0.1,-1.2,45,0.2,"1Q23",1.2
"2023-03-31","VMD","Viemed Healthcare Inc","Health Care",-0.1,-1.2,38,0.3,"1Q23",1.2
"2023-03-31","WRBY","Warby Parker Inc","Consumer Discretionary",-0.1,-1.2,116,0.1,"1Q23",1.2
"2023-03-31","BIRD","Allbirds Inc","Consumer Discretionary",-0.5,-1.3,150,0.3,"1Q23",1.3
"2023-03-31","CADE","Cadence Bank","Financials",-0.1,-1.3,182,0.1,"1Q23",1.3
"2023-03-31","ISPO","Inspirato Inc","Consumer Discretionary",-1.1,-1.3,126,0.9,"1Q23",1.3
"2023-03-31","SIGA","SIGA Technologies Inc","Health Care",-0.2,-1.3,72,0.3,"1Q23",1.3
"2023-03-31","BGCP","BGC Partners Inc","Financials",-0.3,-1.4,387,0.1,"1Q23",1.4
"2023-03-31","BOOM","DMC Global Inc","Energy",-0.1,-1.4,20,0.5,"1Q23",1.4
"2023-03-31","BVS","Bioventus Inc","Health Care",-0.7,-1.4,78,0.9,"1Q23",1.4
"2023-03-31","DK","Delek US Holdings Inc","Energy",-0.1,-1.4,67,0.1,"1Q23",1.4
"2023-03-31","MVIS","MicroVision Inc","Information Technology",-0.6,-1.4,176,0.3,"1Q23",1.4
"2023-03-31","MGNI","Magnite Inc","Communication Services",-0.1,-1.5,135,0.1,"1Q23",1.5
"2023-03-31","MTRX","Matrix Service Co","Industrials",-0.2,-1.6,27,0.7,"1Q23",1.6
"2023-03-31","TDOC","Teladoc Health Inc","Health Care",-0.1,-1.6,164,0.1,"1Q23",1.6
"2023-03-31","AVDL","Avadel Pharmaceuticals PLC","Health Care",-0.2,-1.7,64,0.3,"1Q23",1.7
"2023-03-31","BCRX","BioCryst Pharmaceuticals Inc","Health Care",-0.2,-1.7,189,0.1,"1Q23",1.7
"2023-03-31","FA","First Advantage Corp","Industrials",-0.1,-1.7,147,0.1,"1Q23",1.7
"2023-03-31","MGTX","MeiraGTx Holdings PLC","Health Care",-0.3,-1.7,49,0.6,"1Q23",1.7
"2023-03-31","SONO","Sonos Inc","Consumer Discretionary",-0.1,-1.7,127,0.1,"1Q23",1.7
"2023-03-31","CENX","Century Aluminum Co","Materials",-0.2,-1.8,92,0.2,"1Q23",1.8
"2023-03-31","HUN","Huntsman Corp","Materials",-0.1,-1.8,184,0.1,"1Q23",1.8
"2023-03-31","JHG","Janus Henderson Group PLC","Financials",-0.1,-1.8,166,0.1,"1Q23",1.8
"2023-03-31","PTGX","Protagonist Therapeutics Inc","Health Care",-0.1,-1.8,51,0.2,"1Q23",1.8
"2023-03-31","SJT","San Juan Basin Royalty Trust","Energy",-0.2,-1.8,47,0.4,"1Q23",1.8
"2023-03-31","HURC","Hurco Companies Inc","Industrials",-0.1,-1.9,7,1.4,"1Q23",1.9
"2023-03-31","SBH","Sally Beauty Holdings Inc","Consumer Discretionary",-0.1,-1.9,107,0.1,"1Q23",1.9
"2023-03-31","SKT","Tanger Factory Outlet Centers Inc","Real Estate",-0.1,-1.9,105,0.1,"1Q23",1.9
"2023-03-31","UVE","Universal Insurance Holdings Inc","Financials",-0.1,-1.9,30,0.3,"1Q23",1.9
"2023-03-31","CNK","Cinemark Holdings Inc","Communication Services",-0.2,-2,122,0.2,"1Q23",2
"2023-03-31","NTST","Netstreit Corp","Real Estate",-0.1,-2,58,0.2,"1Q23",2
"2023-03-31","OB","Outbrain Inc","Communication Services",-0.4,-2,51,0.8,"1Q23",2
"2023-03-31","CNO","CNO Financial Group Inc","Financials",-0.1,-2.1,115,0.1,"1Q23",2.1
"2023-03-31","OFIX","Orthofix Medical Inc","Health Care",-0.1,-2.1,34,0.3,"1Q23",2.1
"2023-03-31","WNC","Wabash National Corp","Industrials",-0.1,-2.1,48,0.2,"1Q23",2.1
"2023-03-31","APAM","Artisan Partners Asset Management Inc","Financials",-0.1,-2.2,79,0.1,"1Q23",2.2
"2023-03-31","KBH","KB Home","Consumer Discretionary",-0.1,-2.2,82,0.1,"1Q23",2.2
"2023-03-31","OMI","Owens & Minor Inc","Health Care",-0.1,-2.2,76,0.1,"1Q23",2.2
"2023-03-31","TCMD","Tactile Systems Technology Inc","Health Care",-0.2,-2.2,23,0.9,"1Q23",2.2
"2023-03-31","TPH","Tri Pointe Homes Inc (Delaware)","Consumer Discretionary",-0.1,-2.2,102,0.1,"1Q23",2.2
"2023-03-31","AVNT","Avient Corp","Materials",-0.1,-2.3,91,0.1,"1Q23",2.3
