"quarter","Ticker","Name","Industry","buy/sell(mil shares)","percent"
"1Q23","QRTEA","Qurate Retail Inc","Consumer Discretionary",-48.2,-12.6
"1Q23","HRI","Herc Holdings Inc","Industrials",-3.6,-12.4
"1Q23","RH","RH","Consumer Discretionary",-2.3,-10.5
"1Q23","DTOC","Digital Transformation Opportunities Corp","NULL",-0.5,-5
"1Q23","INGN","Inogen Inc","Health Care",-1,-4.3
"1Q23","TPB","Turning Point Brands Inc","Consumer Staples",-0.7,-3.9
"1Q23","AAP","Advance Auto Parts Inc","Consumer Discretionary",-2.3,-3.9
"1Q23","NSTG","NanoString Technologies Inc","Health Care",-1.8,-3.8
"1Q23","MITA","Coliseum Acquisition Corp","NULL",-0.7,-3.7
"1Q23","WYNN","Wynn Resorts Ltd","Consumer Discretionary",-4.2,-3.7
"1Q23","OSG","Overseas Shipholding Group Inc","Energy",-2.8,-3.5
"1Q23","INDI","indie Semiconductor Inc","Information Technology",-5.5,-3.4
"1Q23","CDNA","CareDx Inc","Health Care",-1.8,-3.3
"1Q23","NRG","NRG Energy Inc","Utilities",-7.4,-3.2
"1Q23","INCY","Incyte Corp","Health Care",-7.2,-3.2
"1Q23","BK","Bank of New York Mellon Corp","Financials",-25.3,-3.2
"1Q23","ARGO","Argo Group International Holdings Ltd","Financials",-1.1,-3.1
"1Q23","VRA","Vera Bradley Inc","Consumer Discretionary",-0.9,-2.9
"1Q23","IRWD","Ironwood Pharmaceuticals Inc","Health Care",-4.3,-2.8
"1Q23","BOWL","Bowlero Corp","Consumer Discretionary",-4.4,-2.7
"1Q23","TISI","Team Inc","Industrials",-0.1,-2.5
"1Q23","WFRD","Weatherford International PLC","Energy",-1.8,-2.5
"1Q23","VMEO","Vimeo Inc","Communication Services",-4,-2.4
"1Q23","OSW","Onespaworld Holdings Ltd","Consumer Discretionary",-2.2,-2.4
"1Q23","NRAC","Northern Revival Acquisition Corp","NULL",-0.2,-2.2
"1Q23","NUVB","Nuvation Bio Inc","Health Care",-4.9,-2.2
"1Q23","BV","Brightview Holdings Inc","Industrials",-2.1,-2.2
"1Q23","MQ","Marqeta Inc","Financials",-11.8,-2.2
